id;com_point_code;register_code;register_name;address_code;organization_code;company_code;ip;host_name;host_port;request_timeout;reply_timeout;jhi_enable;keep_alive;connect_mode;created_by;create_time;updated_by;update_time
36;40;1;;1;1;1;192.168.10.160;1;4198;100;1000;1;1;3;;;;
37;16;1;;1;1;1;192.168.1.148;1;4198;100;1000;1;1;3;;;;
38;1;1;;1;1;1;172.16.0.216;1;4198;100;800;1;1;3;;;;
39;15;1;;1;1;1;192.168.1.235;1;4196;200;1500;1;1;1;;;;
40;11;1;;1;1;1;118.252.123.125;1;4196;100;1000;1;1;2;;;;
41;122;1;;1;1;1;192.168.3.200;1;4198;100;1000;1;1;3;;;;
42;27;1;;1;1;1;192.168.1.231;1;8899;100;1000;1;1;1;;;;
43;100;1;;1;1;1;192.168.8.100;1;4198;100;1000;1;1;3;;;;
44;28;1;;1;1;1;192.168.20.201;1;4198;100;1000;1;1;3;;;;
45;20;1;;1;1;1;192.168.1.96;1;4198;100;800;1;1;3;;;;
46;24;1;;1;1;1;192.168.20.1;1;4198;100;1000;1;1;3;;;;
47;37;1;;1;1;1;192.168.11.64;1;4198;100;1000;1;1;3;;;;
48;33;1;;1;1;1;192.168.11.61;1;4198;100;1000;1;1;3;;;;
49;9;1;;1;1;1;118.252.121.195;1;4198;100;1000;1;1;3;;;;
50;104;1;;1;1;1;192.168.8.100;1;4198;100;800;1;1;3;;;;
51;102;1;;1;1;1;192.168.8.100;1;4198;100;800;1;1;3;;;;
52;107;1;;1;1;1;192.168.8.100;1;4198;100;800;1;1;3;;;;
53;32;1;;1;1;1;192.168.11.60;1;4198;100;1000;1;1;3;;;;
54;2;1;;1;1;1;172.16.0.204;1;8899;100;1000;1;1;1;;;;
55;21;1;;1;1;1;192.168.1.97;1;4198;100;800;1;1;3;;;;
56;25;1;;1;1;1;192.168.1.232;1;8899;100;1000;1;1;1;;;;
57;105;1;;1;1;1;192.168.8.100;1;4198;100;800;1;1;3;;;;
58;7;1;;1;1;1;172.16.0.207;1;4198;100;800;1;1;3;;;;
59;103;1;;1;1;1;192.168.8.100;1;4198;100;800;1;1;3;;;;
60;26;1;;1;1;1;192.168.1.233;1;8899;100;1200;1;1;1;;;;
61;8;1;;1;1;1;118.252.121.195;1;4198;100;1000;1;1;3;;;;
62;13;1;;1;1;1;172.16.0.90;1;4196;100;1000;1;1;1;;;;
63;108;1;;1;1;1;192.168.8.100;1;4198;100;800;1;1;3;;;;
64;30;1;;1;1;1;192.168.5.80;1;4198;100;1000;1;1;3;;;;
65;10;1;;1;1;1;113.242.108.226;1;4198;100;1000;1;1;3;;;;
66;14;1;;1;1;1;192.168.1.236;1;4198;100;1000;1;1;3;;;;
67;106;1;;1;1;1;192.168.8.99;1;4198;100;800;1;1;3;;;;
68;19;1;;1;1;1;192.168.5.124;1;4198;100;1000;1;1;3;;;;
69;121;1;;1;1;1;192.168.3.191;1;4198;100;1000;1;1;3;;;;
70;4;1;;1;1;1;172.16.0.215;1;4198;100;1000;1;1;3;;;;
71;35;1;;1;1;1;192.168.11.63;1;4198;100;1000;1;1;3;;;;
72;22;1;;1;1;1;192.168.1.98;1;4198;100;800;1;1;3;;;;
73;17;1;;1;1;1;192.168.1.149;1;4198;100;1000;1;1;3;;;;
74;23;1;;1;1;1;192.168.1.99;1;4198;100;800;1;1;3;;;;
75;101;1;;1;1;1;192.168.8.101;1;4198;100;1000;1;1;3;;;;
76;34;1;;1;1;1;192.168.11.62;1;4198;100;1000;1;1;3;;;;
77;29;1;;1;1;1;172.16.0.217;1;4198;100;1000;1;1;3;;;;
78;3;1;;1;1;1;192.168.1.230;1;4198;100;800;1;1;3;;;;
79;5;1;;1;1;1;172.16.0.205;1;8899;100;800;1;1;1;;;;
80;31;1;;1;1;1;172.16.0.248;1;4198;100;1000;1;1;3;;;;
81;18;1;;1;1;1;192.168.1.147;1;4198;100;1000;1;1;3;;;;
82;6;1;;1;1;1;172.16.0.206;1;8899;100;800;1;1;1;;;;
83;120;1;;1;1;1;192.168.3.190;1;4198;100;1000;1;1;3;;;;
84;109;1;;1;1;1;192.168.8.100;1;4198;100;800;1;1;3;;;;
